,0.0,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
0.0,"Mon, Apr 1, 2019",7:00p,Detroit Pistons,102,Indiana Pacers,111,Box Score,,"15,760",
1.0,"Mon, Apr 1, 2019",7:30p,Miami Heat,105,Boston Celtics,110,Box Score,,"18,624",
2.0,"Mon, Apr 1, 2019",7:30p,Milwaukee Bucks,131,Brooklyn Nets,121,Box Score,,"17,732",
3.0,"Mon, Apr 1, 2019",7:30p,Chicago Bulls,105,New York Knicks,113,Box Score,,"18,874",
4.0,"Mon, Apr 1, 2019",7:30p,Orlando Magic,109,Toronto Raptors,121,Box Score,,"19,800",
5.0,"Mon, Apr 1, 2019",8:00p,Portland Trail Blazers,132,Minnesota Timberwolves,122,Box Score,,"11,209",
6.0,"Mon, Apr 1, 2019",8:30p,Philadelphia 76ers,102,Dallas Mavericks,122,Box Score,,"19,645",
7.0,"Mon, Apr 1, 2019",9:00p,Charlotte Hornets,102,Utah Jazz,111,Box Score,,"18,306",
8.0,"Mon, Apr 1, 2019",10:00p,Cleveland Cavaliers,113,Phoenix Suns,122,Box Score,,"14,050",
9.0,"Tue, Apr 2, 2019",8:00p,Los Angeles Lakers,103,Oklahoma City Thunder,119,Box Score,,"18,203",
10.0,"Tue, Apr 2, 2019",8:30p,Atlanta Hawks,111,San Antonio Spurs,117,Box Score,,"18,354",
11.0,"Tue, Apr 2, 2019",10:00p,Houston Rockets,130,Sacramento Kings,105,Box Score,,"17,583",
12.0,"Tue, Apr 2, 2019",10:30p,Denver Nuggets,102,Golden State Warriors,116,Box Score,,"19,596",
13.0,"Wed, Apr 3, 2019",7:00p,Indiana Pacers,108,Detroit Pistons,89,Box Score,,"18,984",
14.0,"Wed, Apr 3, 2019",7:00p,New York Knicks,100,Orlando Magic,114,Box Score,,"18,846",
15.0,"Wed, Apr 3, 2019",7:00p,Chicago Bulls,115,Washington Wizards,114,Box Score,,"16,616",
16.0,"Wed, Apr 3, 2019",7:30p,Philadelphia 76ers,122,Atlanta Hawks,130,Box Score,,"16,638",
17.0,"Wed, Apr 3, 2019",7:30p,Toronto Raptors,115,Brooklyn Nets,105,Box Score,,"17,732",
18.0,"Wed, Apr 3, 2019",7:30p,Boston Celtics,112,Miami Heat,102,Box Score,,"19,904",
19.0,"Wed, Apr 3, 2019",8:00p,Charlotte Hornets,115,New Orleans Pelicans,109,Box Score,,"16,844",
20.0,"Wed, Apr 3, 2019",8:30p,Minnesota Timberwolves,110,Dallas Mavericks,108,Box Score,,"19,576",
21.0,"Wed, Apr 3, 2019",9:00p,San Antonio Spurs,85,Denver Nuggets,113,Box Score,,"17,643",
22.0,"Wed, Apr 3, 2019",10:00p,Utah Jazz,118,Phoenix Suns,97,Box Score,,"15,797",
23.0,"Wed, Apr 3, 2019",10:00p,Memphis Grizzlies,89,Portland Trail Blazers,116,Box Score,,"19,608",
24.0,"Wed, Apr 3, 2019",10:30p,Houston Rockets,135,Los Angeles Clippers,103,Box Score,,"17,593",
25.0,"Thu, Apr 4, 2019",8:00p,Milwaukee Bucks,128,Philadelphia 76ers,122,Box Score,,"20,701",
26.0,"Thu, Apr 4, 2019",10:00p,Cleveland Cavaliers,104,Sacramento Kings,117,Box Score,,"17,583",
27.0,"Thu, Apr 4, 2019",10:30p,Golden State Warriors,108,Los Angeles Lakers,90,Box Score,,"18,997",
28.0,"Fri, Apr 5, 2019",7:00p,Toronto Raptors,111,Charlotte Hornets,113,Box Score,,"18,684",
29.0,"Fri, Apr 5, 2019",7:00p,Atlanta Hawks,113,Orlando Magic,149,Box Score,,"18,999",
30.0,"Fri, Apr 5, 2019",7:00p,San Antonio Spurs,129,Washington Wizards,112,Box Score,,"20,409",
31.0,"Fri, Apr 5, 2019",8:00p,New York Knicks,96,Houston Rockets,120,Box Score,,"18,055",
32.0,"Fri, Apr 5, 2019",8:00p,Boston Celtics,117,Indiana Pacers,97,Box Score,,"17,371",
33.0,"Fri, Apr 5, 2019",8:00p,Miami Heat,109,Minnesota Timberwolves,111,Box Score,,"17,763",
34.0,"Fri, Apr 5, 2019",8:00p,Detroit Pistons,110,Oklahoma City Thunder,123,Box Score,,"18,203",
35.0,"Fri, Apr 5, 2019",8:30p,Memphis Grizzlies,122,Dallas Mavericks,112,Box Score,,"20,111",
36.0,"Fri, Apr 5, 2019",9:00p,Sacramento Kings,98,Utah Jazz,119,Box Score,,"18,306",
37.0,"Fri, Apr 5, 2019",10:00p,New Orleans Pelicans,126,Phoenix Suns,133,Box Score,OT,"16,410",
38.0,"Fri, Apr 5, 2019",10:30p,Portland Trail Blazers,110,Denver Nuggets,119,Box Score,,"19,928",
39.0,"Fri, Apr 5, 2019",10:30p,Cleveland Cavaliers,114,Golden State Warriors,120,Box Score,,"19,596",
40.0,"Fri, Apr 5, 2019",10:30p,Los Angeles Lakers,122,Los Angeles Clippers,117,Box Score,,"17,910",
41.0,"Sat, Apr 6, 2019",5:00p,Brooklyn Nets,133,Milwaukee Bucks,128,Box Score,,"18,116",
42.0,"Sat, Apr 6, 2019",8:00p,Philadelphia 76ers,116,Chicago Bulls,96,Box Score,,"21,059",
43.0,"Sun, Apr 7, 2019",12:00p,Miami Heat,109,Toronto Raptors,117,Box Score,OT,"19,800",
44.0,"Sun, Apr 7, 2019",3:00p,San Antonio Spurs,112,Cleveland Cavaliers,90,Box Score,,"19,432",
45.0,"Sun, Apr 7, 2019",3:30p,Oklahoma City Thunder,132,Minnesota Timberwolves,126,Box Score,,"18,978",
46.0,"Sun, Apr 7, 2019",4:00p,Charlotte Hornets,104,Detroit Pistons,91,Box Score,,"19,871",
47.0,"Sun, Apr 7, 2019",5:00p,Brooklyn Nets,108,Indiana Pacers,96,Box Score,,"16,197",
48.0,"Sun, Apr 7, 2019",6:00p,Dallas Mavericks,129,Memphis Grizzlies,127,Box Score,OT,"16,744",
49.0,"Sun, Apr 7, 2019",7:00p,Phoenix Suns,113,Houston Rockets,149,Box Score,,"18,055",
50.0,"Sun, Apr 7, 2019",7:00p,Atlanta Hawks,107,Milwaukee Bucks,115,Box Score,,"17,775",
51.0,"Sun, Apr 7, 2019",7:30p,Orlando Magic,116,Boston Celtics,108,Box Score,,"18,624",
52.0,"Sun, Apr 7, 2019",7:30p,Washington Wizards,110,New York Knicks,113,Box Score,,"19,812",
53.0,"Sun, Apr 7, 2019",8:30p,Los Angeles Clippers,104,Golden State Warriors,131,Box Score,,"19,596",
54.0,"Sun, Apr 7, 2019",9:00p,Denver Nuggets,108,Portland Trail Blazers,115,Box Score,,"19,890",
55.0,"Sun, Apr 7, 2019",9:00p,New Orleans Pelicans,133,Sacramento Kings,129,Box Score,,"17,583",
56.0,"Sun, Apr 7, 2019",9:30p,Utah Jazz,109,Los Angeles Lakers,113,Box Score,,"18,997",
57.0,"Tue, Apr 9, 2019",7:00p,Charlotte Hornets,124,Cleveland Cavaliers,97,Box Score,,"19,432",
58.0,"Tue, Apr 9, 2019",7:00p,Memphis Grizzlies,93,Detroit Pistons,100,Box Score,,"19,802",
59.0,"Tue, Apr 9, 2019",7:00p,Boston Celtics,116,Washington Wizards,110,Box Score,,"20,409",
60.0,"Tue, Apr 9, 2019",7:30p,Philadelphia 76ers,99,Miami Heat,122,Box Score,,"20,153",
61.0,"Tue, Apr 9, 2019",8:00p,New York Knicks,96,Chicago Bulls,86,Box Score,,"21,350",
62.0,"Tue, Apr 9, 2019",8:00p,Toronto Raptors,120,Minnesota Timberwolves,100,Box Score,,"16,119",
63.0,"Tue, Apr 9, 2019",8:00p,Golden State Warriors,112,New Orleans Pelicans,103,Box Score,,"17,090",
64.0,"Tue, Apr 9, 2019",8:30p,Phoenix Suns,109,Dallas Mavericks,120,Box Score,,"21,041",
65.0,"Tue, Apr 9, 2019",9:00p,Denver Nuggets,108,Utah Jazz,118,Box Score,,"18,306",
66.0,"Tue, Apr 9, 2019",9:30p,Houston Rockets,111,Oklahoma City Thunder,112,Box Score,,"18,203",
67.0,"Tue, Apr 9, 2019",10:30p,Portland Trail Blazers,104,Los Angeles Lakers,101,Box Score,,"18,997",
68.0,"Wed, Apr 10, 2019",8:00p,Indiana Pacers,135,Atlanta Hawks,134,Box Score,,"17,143",
69.0,"Wed, Apr 10, 2019",8:00p,Miami Heat,94,Brooklyn Nets,113,Box Score,,"17,732",
70.0,"Wed, Apr 10, 2019",8:00p,Orlando Magic,122,Charlotte Hornets,114,Box Score,,"17,719",
71.0,"Wed, Apr 10, 2019",8:00p,Golden State Warriors,117,Memphis Grizzlies,132,Box Score,,"17,794",
72.0,"Wed, Apr 10, 2019",8:00p,Oklahoma City Thunder,127,Milwaukee Bucks,116,Box Score,,"18,082",
73.0,"Wed, Apr 10, 2019",8:00p,Detroit Pistons,115,New York Knicks,89,Box Score,,"19,812",
74.0,"Wed, Apr 10, 2019",8:00p,Chicago Bulls,109,Philadelphia 76ers,125,Box Score,,"20,197",
75.0,"Wed, Apr 10, 2019",8:00p,Dallas Mavericks,94,San Antonio Spurs,105,Box Score,,"18,629",
76.0,"Wed, Apr 10, 2019",10:30p,Minnesota Timberwolves,95,Denver Nuggets,99,Box Score,,"16,332",
77.0,"Wed, Apr 10, 2019",10:30p,Utah Jazz,137,Los Angeles Clippers,143,Box Score,OT,"17,655",
78.0,"Wed, Apr 10, 2019",10:30p,Sacramento Kings,131,Portland Trail Blazers,136,Box Score,,"19,814",
79.0,Playoffs,,,,,,,,,
80.0,"Sat, Apr 13, 2019",2:30p,Brooklyn Nets,111,Philadelphia 76ers,102,Box Score,,"20,437",
81.0,"Sat, Apr 13, 2019",5:00p,Orlando Magic,104,Toronto Raptors,101,Box Score,,"19,937",
82.0,"Sat, Apr 13, 2019",8:00p,Los Angeles Clippers,104,Golden State Warriors,121,Box Score,,"19,596",
83.0,"Sat, Apr 13, 2019",10:30p,San Antonio Spurs,101,Denver Nuggets,96,Box Score,,"19,520",
84.0,"Sun, Apr 14, 2019",1:00p,Indiana Pacers,74,Boston Celtics,84,Box Score,,"18,624",
85.0,"Sun, Apr 14, 2019",3:30p,Oklahoma City Thunder,99,Portland Trail Blazers,104,Box Score,,"19,886",
86.0,"Sun, Apr 14, 2019",7:00p,Detroit Pistons,86,Milwaukee Bucks,121,Box Score,,"17,529",
87.0,"Sun, Apr 14, 2019",9:30p,Utah Jazz,90,Houston Rockets,122,Box Score,,"18,055",
88.0,"Mon, Apr 15, 2019",8:00p,Brooklyn Nets,123,Philadelphia 76ers,145,Box Score,,"20,591",
89.0,"Mon, Apr 15, 2019",10:30p,Los Angeles Clippers,135,Golden State Warriors,131,Box Score,,"19,596",
90.0,"Tue, Apr 16, 2019",8:00p,Orlando Magic,82,Toronto Raptors,111,Box Score,,"19,964",
91.0,"Tue, Apr 16, 2019",9:00p,San Antonio Spurs,105,Denver Nuggets,114,Box Score,,"19,520",
