,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
0.0,7:00p,Memphis Grizzlies,92,Charlotte Hornets,100,Box Score,,"15,387",
1.0,7:30p,Boston Celtics,113,New York Knicks,99,Box Score,,"18,343",
2.0,8:00p,Oklahoma City Thunder,118,Miami Heat,102,Box Score,,"19,600",
3.0,9:00p,Atlanta Hawks,112,Utah Jazz,128,Box Score,,"18,306",
4.0,10:00p,Houston Rockets,122,Denver Nuggets,136,Box Score,,"20,106",
5.0,5:00p,Los Angeles Clippers,111,Detroit Pistons,101,Box Score,,"17,862",
6.0,7:00p,Chicago Bulls,118,Charlotte Hornets,125,Box Score,,"19,114",
7.0,7:00p,Brooklyn Nets,89,Orlando Magic,102,Box Score,,"17,385",
8.0,7:00p,Milwaukee Bucks,131,Washington Wizards,115,Box Score,,"20,409",
9.0,7:30p,Dallas Mavericks,111,Cleveland Cavaliers,98,Box Score,,"19,432",
10.0,7:30p,Indiana Pacers,95,Miami Heat,88,Box Score,,"19,600",
11.0,8:30p,Los Angeles Lakers,101,Golden State Warriors,115,Box Score,,"19,596",
12.0,8:30p,New Orleans Pelicans,108,San Antonio Spurs,113,Box Score,,"18,354",
13.0,9:00p,Denver Nuggets,107,Minnesota Timberwolves,106,Box Score,,"17,208",
14.0,9:00p,Atlanta Hawks,118,Phoenix Suns,112,Box Score,,"15,534",
15.0,9:00p,Houston Rockets,125,Utah Jazz,98,Box Score,,"18,306",
16.0,10:00p,Philadelphia 76ers,108,Sacramento Kings,115,Box Score,,"17,583",
17.0,1:00p,Memphis Grizzlies,96,New York Knicks,84,Box Score,,"17,025",
18.0,2:00p,Oklahoma City Thunder,129,Boston Celtics,134,Box Score,,"18,624",
19.0,3:00p,Los Angeles Clippers,103,Toronto Raptors,121,Box Score,,"19,800",
20.0,7:00p,Denver Nuggets,103,Detroit Pistons,129,Box Score,,"12,589",
21.0,7:00p,Atlanta Hawks,137,Washington Wizards,129,Box Score,,"15,025",
22.0,7:30p,Milwaukee Bucks,113,Brooklyn Nets,94,Box Score,,"16,209",
23.0,8:00p,Indiana Pacers,109,New Orleans Pelicans,107,Box Score,,"15,780",
24.0,9:00p,Houston Rockets,118,Phoenix Suns,110,Box Score,,"15,740",
25.0,10:00p,San Antonio Spurs,112,Sacramento Kings,127,Box Score,,"16,245",
26.0,7:00p,Los Angeles Clippers,117,Charlotte Hornets,115,Box Score,,"14,300",
27.0,7:00p,Boston Celtics,103,Cleveland Cavaliers,96,Box Score,,"19,432",
28.0,7:00p,Los Angeles Lakers,94,Indiana Pacers,136,Box Score,,"17,265",
29.0,7:30p,Detroit Pistons,105,New York Knicks,92,Box Score,,"17,853",
30.0,8:00p,Minnesota Timberwolves,106,Memphis Grizzlies,108,Box Score,,"13,454",
31.0,8:00p,Orlando Magic,122,Oklahoma City Thunder,132,Box Score,,"18,203",
32.0,8:00p,Toronto Raptors,119,Philadelphia 76ers,107,Box Score,,"20,472",
33.0,10:30p,Miami Heat,118,Portland Trail Blazers,108,Box Score,,"19,468",
34.0,7:30p,Denver Nuggets,130,Brooklyn Nets,135,Box Score,,"14,516",
35.0,8:00p,New Orleans Pelicans,125,Chicago Bulls,120,Box Score,,"18,116",
36.0,8:00p,Washington Wizards,129,Milwaukee Bucks,148,Box Score,,"17,360",
37.0,8:30p,Charlotte Hornets,93,Dallas Mavericks,99,Box Score,,"19,606",
38.0,9:00p,Phoenix Suns,88,Utah Jazz,116,Box Score,,"18,306",
39.0,10:00p,Houston Rockets,127,Sacramento Kings,101,Box Score,,"17,583",
40.0,10:30p,San Antonio Spurs,102,Golden State Warriors,141,Box Score,,"19,596",
41.0,7:00p,Los Angeles Clippers,92,Indiana Pacers,116,Box Score,,"15,756",
42.0,7:00p,Minnesota Timberwolves,112,Orlando Magic,122,Box Score,,"17,184",
43.0,7:30p,Toronto Raptors,119,Atlanta Hawks,101,Box Score,,"16,036",
44.0,8:00p,Los Angeles Lakers,129,Boston Celtics,128,Box Score,,"18,624",
45.0,8:00p,Memphis Grizzlies,95,Oklahoma City Thunder,117,Box Score,,"18,203",
46.0,10:30p,San Antonio Spurs,118,Portland Trail Blazers,127,Box Score,,"19,393",
47.0,7:00p,New York Knicks,103,Detroit Pistons,120,Box Score,,"14,430",
48.0,7:00p,Denver Nuggets,110,Philadelphia 76ers,117,Box Score,,"20,627",
49.0,7:00p,Cleveland Cavaliers,106,Washington Wizards,119,Box Score,,"16,682",
50.0,7:30p,Chicago Bulls,125,Brooklyn Nets,106,Box Score,,"15,267",
51.0,8:30p,Milwaukee Bucks,122,Dallas Mavericks,107,Box Score,,"20,420",
52.0,9:00p,Golden State Warriors,117,Phoenix Suns,107,Box Score,,"17,081",
53.0,9:30p,Minnesota Timberwolves,117,New Orleans Pelicans,122,Box Score,,"16,980",
54.0,10:00p,Miami Heat,96,Sacramento Kings,102,Box Score,,"17,583",
55.0,5:00p,San Antonio Spurs,105,Utah Jazz,125,Box Score,,"18,306",
56.0,7:00p,Cleveland Cavaliers,90,Indiana Pacers,105,Box Score,,"17,923",
57.0,7:30p,Charlotte Hornets,129,Atlanta Hawks,120,Box Score,,"15,048",
58.0,7:30p,Toronto Raptors,104,New York Knicks,99,Box Score,,"18,886",
59.0,8:00p,Los Angeles Clippers,123,Boston Celtics,112,Box Score,,"18,624",
60.0,8:00p,Washington Wizards,134,Chicago Bulls,125,Box Score,,"19,942",
61.0,8:00p,New Orleans Pelicans,90,Memphis Grizzlies,99,Box Score,,"16,841",
62.0,8:30p,Oklahoma City Thunder,117,Houston Rockets,112,Box Score,,"18,061",
63.0,9:00p,Orlando Magic,103,Milwaukee Bucks,83,Box Score,,"17,812",
64.0,3:00p,Portland Trail Blazers,101,Dallas Mavericks,102,Box Score,,"20,340",
65.0,3:30p,Los Angeles Lakers,120,Philadelphia 76ers,143,Box Score,,"20,683",
66.0,6:00p,Phoenix Suns,104,Sacramento Kings,117,Box Score,,"17,583",
67.0,7:30p,Orlando Magic,124,Atlanta Hawks,108,Box Score,,"13,370",
68.0,8:30p,Miami Heat,118,Golden State Warriors,120,Box Score,,"19,596",
69.0,7:00p,New York Knicks,104,Cleveland Cavaliers,107,Box Score,,"19,432",
70.0,7:00p,Washington Wizards,112,Detroit Pistons,121,Box Score,,"15,246",
71.0,7:00p,Charlotte Hornets,90,Indiana Pacers,99,Box Score,,"15,734",
72.0,7:30p,Brooklyn Nets,125,Toronto Raptors,127,Box Score,,"19,800",
73.0,8:00p,Milwaukee Bucks,112,Chicago Bulls,99,Box Score,,"18,833",
74.0,8:00p,Dallas Mavericks,104,Houston Rockets,120,Box Score,,"18,055",
75.0,8:00p,Los Angeles Clippers,120,Minnesota Timberwolves,130,Box Score,,"13,782",
76.0,8:00p,Portland Trail Blazers,111,Oklahoma City Thunder,120,Box Score,,"18,203",
77.0,9:00p,Miami Heat,87,Denver Nuggets,103,Box Score,,"18,378",
78.0,7:30p,Los Angeles Lakers,113,Atlanta Hawks,117,Box Score,,"16,824",
79.0,8:00p,San Antonio Spurs,108,Memphis Grizzlies,107,Box Score,,"13,788",
80.0,8:00p,Orlando Magic,118,New Orleans Pelicans,88,Box Score,,"15,733",
81.0,8:00p,Boston Celtics,112,Philadelphia 76ers,109,Box Score,,"20,582",
82.0,10:30p,Utah Jazz,108,Golden State Warriors,115,Box Score,,"19,596",
83.0,7:00p,Brooklyn Nets,148,Cleveland Cavaliers,139,Box Score,3OT,"17,434",
84.0,7:00p,Milwaukee Bucks,106,Indiana Pacers,97,Box Score,,"17,311",
85.0,7:30p,Detroit Pistons,110,Boston Celtics,118,Box Score,,"18,624",
86.0,7:30p,Philadelphia 76ers,126,New York Knicks,111,Box Score,,"18,983",
87.0,7:30p,Washington Wizards,120,Toronto Raptors,129,Box Score,,"19,800",
88.0,8:00p,Memphis Grizzlies,110,Chicago Bulls,122,Box Score,,"19,114",
89.0,8:00p,Houston Rockets,111,Minnesota Timberwolves,121,Box Score,,"15,131",
90.0,8:30p,Miami Heat,112,Dallas Mavericks,101,Box Score,,"20,364",
91.0,9:00p,Sacramento Kings,118,Denver Nuggets,120,Box Score,,"17,938",
92.0,10:30p,Phoenix Suns,107,Los Angeles Clippers,134,Box Score,,"17,703",
93.0,10:30p,Golden State Warriors,107,Portland Trail Blazers,129,Box Score,,"19,549",
94.0,7:00p,Charlotte Hornets,89,Orlando Magic,127,Box Score,,"18,846",
95.0,7:30p,New York Knicks,106,Atlanta Hawks,91,Box Score,,"14,179",
96.0,8:00p,Oklahoma City Thunder,122,New Orleans Pelicans,131,Box Score,,"15,686",
97.0,7:00p,Phoenix Suns,98,Cleveland Cavaliers,111,Box Score,,"19,022",
98.0,7:00p,Miami Heat,102,Philadelphia 76ers,106,Box Score,,"20,505",
99.0,7:30p,Portland Trail Blazers,113,Brooklyn Nets,99,Box Score,,"17,732",
100.0,8:00p,Boston Celtics,97,Milwaukee Bucks,98,Box Score,,"17,926",
101.0,10:30p,Sacramento Kings,123,Golden State Warriors,125,Box Score,,"19,596",
102.0,10:30p,Houston Rockets,106,Los Angeles Lakers,111,Box Score,,"18,997",
103.0,7:00p,Washington Wizards,110,Charlotte Hornets,123,Box Score,,"15,572",
104.0,7:00p,New Orleans Pelicans,111,Indiana Pacers,126,Box Score,,"16,962",
105.0,7:00p,Chicago Bulls,110,Orlando Magic,109,Box Score,,"18,846",
106.0,7:00p,San Antonio Spurs,117,Toronto Raptors,120,Box Score,,"20,058",
107.0,7:30p,Detroit Pistons,125,Atlanta Hawks,122,Box Score,,"14,067",
108.0,7:30p,Minnesota Timberwolves,115,New York Knicks,104,Box Score,,"19,096",
109.0,8:00p,Los Angeles Clippers,112,Memphis Grizzlies,106,Box Score,,"16,444",
110.0,8:30p,Denver Nuggets,114,Dallas Mavericks,104,Box Score,,"20,382",
111.0,9:30p,Utah Jazz,147,Oklahoma City Thunder,148,Box Score,2OT,"18,203",
112.0,1:00p,Portland Trail Blazers,130,Philadelphia 76ers,115,Box Score,,"20,619",
113.0,7:00p,Phoenix Suns,112,Atlanta Hawks,120,Box Score,,"15,214",
114.0,7:00p,Brooklyn Nets,117,Charlotte Hornets,115,Box Score,,"19,158",
115.0,7:00p,Memphis Grizzlies,107,Cleveland Cavaliers,112,Box Score,,"19,432",
116.0,7:00p,Los Angeles Lakers,115,New Orleans Pelicans,128,Box Score,,"18,626",
117.0,7:00p,Indiana Pacers,119,Washington Wizards,112,Box Score,,"19,648",
118.0,7:30p,Detroit Pistons,119,Miami Heat,96,Box Score,,"19,600",
119.0,8:00p,Boston Celtics,116,Chicago Bulls,126,Box Score,,"21,295",
120.0,8:00p,Sacramento Kings,119,Oklahoma City Thunder,116,Box Score,,"18,203",
121.0,8:30p,Houston Rockets,118,Golden State Warriors,112,Box Score,,"19,596",
122.0,8:30p,Minnesota Timberwolves,128,Milwaukee Bucks,140,Box Score,,"17,972",
123.0,10:00p,Dallas Mavericks,109,Utah Jazz,125,Box Score,,"18,306",
124.0,3:30p,Orlando Magic,113,Toronto Raptors,98,Box Score,,"19,800",
125.0,5:00p,Los Angeles Clippers,96,Denver Nuggets,123,Box Score,,"19,956",
126.0,7:30p,San Antonio Spurs,118,New York Knicks,130,Box Score,,"18,019",
127.0,7:00p,Golden State Warriors,121,Charlotte Hornets,110,Box Score,,"19,419",
128.0,7:00p,Portland Trail Blazers,123,Cleveland Cavaliers,110,Box Score,,"19,432",
129.0,7:00p,Indiana Pacers,109,Detroit Pistons,113,Box Score,,"15,321",
130.0,7:30p,San Antonio Spurs,85,Brooklyn Nets,101,Box Score,,"13,479",
131.0,7:30p,Phoenix Suns,124,Miami Heat,121,Box Score,,"19,600",
132.0,8:00p,Milwaukee Bucks,117,Chicago Bulls,106,Box Score,,"20,936",
133.0,8:00p,Atlanta Hawks,111,Houston Rockets,119,Box Score,,"18,055",
134.0,8:00p,Los Angeles Lakers,105,Memphis Grizzlies,110,Box Score,,"17,794",
135.0,8:00p,Sacramento Kings,105,Minnesota Timberwolves,112,Box Score,,"13,691",
136.0,8:00p,Philadelphia 76ers,111,New Orleans Pelicans,110,Box Score,,"17,194",
137.0,10:30p,Dallas Mavericks,112,Los Angeles Clippers,121,Box Score,,"19,068",
138.0,7:30p,Orlando Magic,103,New York Knicks,108,Box Score,,"17,833",
139.0,8:00p,Boston Celtics,95,Toronto Raptors,118,Box Score,,"19,800",
140.0,10:30p,Oklahoma City Thunder,112,Denver Nuggets,121,Box Score,,"18,378",
