,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
0.0,7:30p,Chicago Bulls,168,Atlanta Hawks,161,Box Score,4OT,"15,267",
1.0,7:30p,Charlotte Hornets,123,Brooklyn Nets,112,Box Score,,"15,578",
2.0,8:00p,Washington Wizards,96,Boston Celtics,107,Box Score,,"18,624",
3.0,8:00p,Portland Trail Blazers,117,Toronto Raptors,119,Box Score,,"19,800",
4.0,9:00p,New Orleans Pelicans,130,Phoenix Suns,116,Box Score,,"14,123",
5.0,10:00p,Los Angeles Clippers,116,Sacramento Kings,109,Box Score,,"17,583",
6.0,10:30p,Milwaukee Bucks,131,Los Angeles Lakers,120,Box Score,,"18,997",
7.0,5:00p,Detroit Pistons,129,Cleveland Cavaliers,93,Box Score,,"19,432",
8.0,7:00p,Orlando Magic,117,Indiana Pacers,112,Box Score,,"17,923",
9.0,7:30p,Brooklyn Nets,88,Miami Heat,117,Box Score,,"19,600",
10.0,8:30p,Memphis Grizzlies,111,Dallas Mavericks,81,Box Score,,"20,233",
11.0,8:30p,Golden State Warriors,120,Philadelphia 76ers,117,Box Score,,"20,624",
12.0,8:30p,Oklahoma City Thunder,102,San Antonio Spurs,116,Box Score,,"18,439",
13.0,9:00p,New Orleans Pelicans,120,Denver Nuggets,112,Box Score,,"19,978",
14.0,9:00p,Los Angeles Lakers,109,Phoenix Suns,118,Box Score,,"18,055",
15.0,9:00p,Milwaukee Bucks,111,Utah Jazz,115,Box Score,,"18,306",
16.0,1:00p,Portland Trail Blazers,118,Charlotte Hornets,108,Box Score,,"18,355",
17.0,3:30p,Houston Rockets,115,Boston Celtics,104,Box Score,,"18,624",
18.0,3:30p,Atlanta Hawks,123,Chicago Bulls,118,Box Score,,"20,526",
19.0,3:30p,New York Knicks,107,Los Angeles Clippers,128,Box Score,,"19,068",
20.0,6:00p,Orlando Magic,93,Cleveland Cavaliers,107,Box Score,,"19,432",
21.0,6:00p,Toronto Raptors,107,Detroit Pistons,112,Box Score,OT,"19,161",
22.0,6:00p,Minnesota Timberwolves,121,Washington Wizards,135,Box Score,,"17,869",
23.0,7:00p,Memphis Grizzlies,95,Oklahoma City Thunder,99,Box Score,,"18,203",
24.0,7:30p,Dallas Mavericks,88,Brooklyn Nets,127,Box Score,,"17,064",
25.0,7:30p,Atlanta Hawks,113,Miami Heat,114,Box Score,,"19,600",
26.0,8:30p,Denver Nuggets,103,San Antonio Spurs,104,Box Score,,"18,354",
