,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
0.0,7:30p,Utah Jazz,116,Toronto Raptors,122,Box Score,,"19,800",
1.0,8:00p,Detroit Pistons,98,Milwaukee Bucks,121,Box Score,,"17,534",
2.0,9:00p,New York Knicks,108,Denver Nuggets,115,Box Score,,"19,520",
3.0,9:00p,Portland Trail Blazers,113,Sacramento Kings,108,Box Score,OT,"17,583",
4.0,10:30p,Philadelphia 76ers,119,Los Angeles Clippers,113,Box Score,,"17,868",
5.0,7:00p,Dallas Mavericks,122,Charlotte Hornets,84,Box Score,,"16,955",
6.0,7:00p,Miami Heat,117,Cleveland Cavaliers,92,Box Score,,"19,432",
7.0,7:00p,Atlanta Hawks,98,Washington Wizards,114,Box Score,,"15,324",
8.0,7:30p,New Orleans Pelicans,121,Brooklyn Nets,126,Box Score,,"16,890",
9.0,8:00p,Minnesota Timberwolves,102,Boston Celtics,115,Box Score,,"18,624",
10.0,8:00p,Orlando Magic,112,Chicago Bulls,84,Box Score,,"19,013",
11.0,8:00p,Detroit Pistons,101,Memphis Grizzlies,94,Box Score,,"14,109",
12.0,9:00p,Philadelphia 76ers,132,Phoenix Suns,127,Box Score,,"15,226",
13.0,10:30p,Oklahoma City Thunder,107,Los Angeles Lakers,100,Box Score,,"18,997",
14.0,8:00p,Toronto Raptors,107,San Antonio Spurs,125,Box Score,,"18,354",
15.0,10:00p,Denver Nuggets,117,Sacramento Kings,113,Box Score,,"17,583",
16.0,10:30p,Houston Rockets,135,Golden State Warriors,134,Box Score,OT,"19,596",
17.0,7:30p,Utah Jazz,117,Cleveland Cavaliers,91,Box Score,,"19,432",
18.0,8:00p,Dallas Mavericks,93,Boston Celtics,114,Box Score,,"18,624",
19.0,8:00p,Indiana Pacers,119,Chicago Bulls,116,Box Score,OT,"21,284",
20.0,8:00p,Brooklyn Nets,109,Memphis Grizzlies,100,Box Score,,"16,683",
21.0,8:00p,Washington Wizards,109,Miami Heat,115,Box Score,,"19,600",
22.0,8:00p,Orlando Magic,103,Minnesota Timberwolves,120,Box Score,,"14,355",
23.0,8:30p,Atlanta Hawks,112,Milwaukee Bucks,144,Box Score,,"17,632",
24.0,9:00p,Los Angeles Clippers,121,Phoenix Suns,111,Box Score,,"14,764",
25.0,10:30p,New York Knicks,119,Los Angeles Lakers,112,Box Score,,"18,997",
26.0,10:30p,Oklahoma City Thunder,111,Portland Trail Blazers,109,Box Score,,"19,393",
27.0,5:00p,Charlotte Hornets,110,Denver Nuggets,123,Box Score,,"19,861",
28.0,7:00p,Utah Jazz,110,Detroit Pistons,105,Box Score,,"17,255",
29.0,7:30p,Dallas Mavericks,100,Philadelphia 76ers,106,Box Score,,"20,656",
30.0,8:00p,New Orleans Pelicans,133,Cleveland Cavaliers,98,Box Score,,"19,432",
31.0,8:30p,Toronto Raptors,123,Milwaukee Bucks,116,Box Score,,"18,028",
32.0,8:30p,Memphis Grizzlies,88,San Antonio Spurs,108,Box Score,,"18,354",
33.0,10:00p,Houston Rockets,101,Portland Trail Blazers,110,Box Score,,"19,577",
34.0,10:00p,Golden State Warriors,127,Sacramento Kings,123,Box Score,,"17,583",
35.0,3:30p,Brooklyn Nets,117,Chicago Bulls,100,Box Score,,"19,265",
36.0,3:30p,Orlando Magic,96,Los Angeles Clippers,106,Box Score,,"16,616",
37.0,3:30p,Los Angeles Lakers,86,Minnesota Timberwolves,108,Box Score,,"18,978",
38.0,6:00p,Miami Heat,82,Atlanta Hawks,106,Box Score,,"16,630",
39.0,7:00p,Washington Wizards,116,Oklahoma City Thunder,98,Box Score,,"18,203",
40.0,7:30p,Indiana Pacers,105,Toronto Raptors,121,Box Score,,"19,800",
41.0,8:00p,Charlotte Hornets,119,Phoenix Suns,113,Box Score,,"13,110",
42.0,7:00p,San Antonio Spurs,119,Detroit Pistons,107,Box Score,,"13,107",
43.0,7:30p,Brooklyn Nets,95,Boston Celtics,116,Box Score,,"18,624",
44.0,8:00p,Denver Nuggets,113,Houston Rockets,125,Box Score,,"18,055",
45.0,8:00p,Utah Jazz,102,Milwaukee Bucks,114,Box Score,,"17,341",
46.0,8:00p,Memphis Grizzlies,95,New Orleans Pelicans,114,Box Score,,"14,624",
47.0,8:30p,Los Angeles Lakers,107,Dallas Mavericks,97,Box Score,,"20,354",
48.0,10:00p,New York Knicks,101,Portland Trail Blazers,111,Box Score,,"19,026",
49.0,10:00p,Orlando Magic,95,Sacramento Kings,111,Box Score,,"15,724",
50.0,7:00p,Indiana Pacers,123,Cleveland Cavaliers,115,Box Score,,"19,432",
51.0,7:00p,Washington Wizards,115,Philadelphia 76ers,132,Box Score,,"20,446",
52.0,7:30p,Denver Nuggets,103,Miami Heat,99,Box Score,,"19,600",
53.0,7:30p,Atlanta Hawks,101,Toronto Raptors,104,Box Score,,"19,800",
54.0,8:00p,Minnesota Timberwolves,119,Oklahoma City Thunder,117,Box Score,,"18,203",
55.0,9:00p,Sacramento Kings,111,Phoenix Suns,115,Box Score,,"13,977",
56.0,10:30p,New York Knicks,95,Golden State Warriors,122,Box Score,,"19,596",
57.0,10:30p,Charlotte Hornets,109,Los Angeles Clippers,128,Box Score,,"15,275",
58.0,7:00p,Indiana Pacers,108,Boston Celtics,135,Box Score,,"18,624",
59.0,7:00p,Philadelphia 76ers,106,Washington Wizards,123,Box Score,,"18,039",
60.0,7:30p,Atlanta Hawks,100,Brooklyn Nets,116,Box Score,,"14,531",
61.0,8:00p,Milwaukee Bucks,116,Houston Rockets,109,Box Score,,"18,055",
62.0,8:00p,San Antonio Spurs,86,Memphis Grizzlies,96,Box Score,,"13,944",
63.0,8:00p,Cleveland Cavaliers,124,New Orleans Pelicans,140,Box Score,,"15,058",
64.0,8:30p,Phoenix Suns,94,Dallas Mavericks,104,Box Score,,"19,596",
65.0,9:00p,Orlando Magic,93,Utah Jazz,106,Box Score,,"18,306",
66.0,10:00p,Chicago Bulls,112,Portland Trail Blazers,124,Box Score,,"19,393",
67.0,10:30p,Detroit Pistons,100,Los Angeles Lakers,113,Box Score,,"18,997",
68.0,7:00p,Boston Celtics,99,Miami Heat,115,Box Score,,"19,600",
69.0,9:00p,Los Angeles Clippers,100,Denver Nuggets,121,Box Score,,"15,742",
70.0,9:30p,Oklahoma City Thunder,147,San Antonio Spurs,154,Box Score,2OT,"18,354",
71.0,10:00p,Detroit Pistons,102,Sacramento Kings,112,Box Score,,"16,916",
72.0,7:00p,Atlanta Hawks,123,Philadelphia 76ers,121,Box Score,,"20,487",
73.0,7:00p,Milwaukee Bucks,106,Washington Wizards,113,Box Score,,"17,996",
74.0,7:30p,Indiana Pacers,121,New York Knicks,106,Box Score,,"19,812",
75.0,7:30p,Brooklyn Nets,105,Toronto Raptors,122,Box Score,,"19,800",
76.0,8:00p,Cleveland Cavaliers,113,Houston Rockets,141,Box Score,,"18,055",
77.0,8:00p,Dallas Mavericks,119,Minnesota Timberwolves,115,Box Score,,"18,978",
78.0,10:00p,Charlotte Hornets,96,Portland Trail Blazers,127,Box Score,,"19,393",
79.0,10:00p,Los Angeles Lakers,95,Utah Jazz,113,Box Score,,"18,306",
